Area_Name,Year,Group_Name,Sub_Group_Name,Victims_Above_50_Yrs,Victims_Total,Victims_Upto_10_15_Yrs,Victims_Upto_10_Yrs,Victims_Upto_15_18_Yrs,Victims_Upto_18_30_Yrs,Victims_Upto_30_50_Yrs
Delhi,2003,Murder - Female Victims,2. Female Victims,23,131,6,8,7,44,43
Goa,2003,Murder - Female Victims,2. Female Victims,4,14,NULL,NULL,NULL,5,5
Gujarat,2003,Murder - Female Victims,2. Female Victims,33,356,1,29,3,160,130
Haryana,2003,Murder - Female Victims,2. Female Victims,8,151,1,1,7,93,41
Himachal Pradesh,2003,Murder - Female Victims,2. Female Victims,5,34,0,0,1,12,16
Jammu & Kashmir,2003,Murder - Female Victims,2. Female Victims,3,102,0,0,0,57,42
Jharkhand,2003,Murder - Female Victims,2. Female Victims,30,396,1,2,1,177,185
Karnataka,2003,Murder - Female Victims,2. Female Victims,39,525,12,50,21,249,154
Kerala,2003,Murder - Female Victims,2. Female Victims,22,126,3,15,3,28,55
Madhya Pradesh,2003,Murder - Female Victims,2. Female Victims,50,454,4,16,39,194,151
Maharashtra,2003,Murder - Female Victims,2. Female Victims,70,996,22,79,18,533,274
Manipur,2003,Murder - Female Victims,2. Female Victims,0,11,0,1,0,8,2
Meghalaya,2003,Murder - Female Victims,2. Female Victims,1,10,0,0,2,4,3
Mizoram,2003,Murder - Female Victims,2. Female Victims,NULL,9,NULL,NULL,NULL,5,4
Nagaland,2003,Murder - Female Victims,2. Female Victims,0,6,0,0,0,5,1
Odisha,2003,Murder - Female Victims,2. Female Victims,21,333,0,3,3,178,128
Puducherry,2003,Murder - Female Victims,2. Female Victims,2,8,1,NULL,NULL,3,2
Punjab,2003,Murder - Female Victims,2. Female Victims,18,175,2,3,2,89,61
Rajasthan,2003,Murder - Female Victims,2. Female Victims,34,271,3,2,3,123,106
Sikkim,2003,Murder - Female Victims,2. Female Victims,NULL,6,NULL,1,NULL,4,1
Tamil Nadu,2003,Murder - Female Victims,2. Female Victims,83,543,7,7,25,239,182
Tripura,2003,Murder - Female Victims,2. Female Victims,NULL,23,NULL,NULL,0,18,5
Uttar Pradesh,2003,Murder - Female Victims,2. Female Victims,75,999,58,8,86,427,345
Uttarakhand,2003,Murder - Female Victims,2. Female Victims,2,62,0,0,2,28,30
West Bengal,2003,Murder - Female Victims,2. Female Victims,10,297,2,2,2,186,95
Andaman & Nicobar Islands,2004,Murder - Female Victims,2. Female Victims,0,5,0,0,0,0,5
Andhra Pradesh,2004,Murder - Female Victims,2. Female Victims,63,655,10,13,14,301,254
Arunachal Pradesh,2004,Murder - Female Victims,2. Female Victims,0,2,0,0,0,0,2
Assam,2004,Murder - Female Victims,2. Female Victims,4,84,0,0,0,55,25
Bihar,2004,Murder - Female Victims,2. Female Victims,10,425,4,2,0,269,140
Chandigarh,2004,Murder - Female Victims,2. Female Victims,0,8,0,2,0,3,3
Chhattisgarh,2004,Murder - Female Victims,2. Female Victims,32,269,5,5,7,96,124
Dadra & Nagar Haveli,2004,Murder - Female Victims,2. Female Victims,0,2,0,2,0,0,0
Daman & Diu,2004,Murder - Female Victims,2. Female Victims,NULL,1,NULL,NULL,NULL,1,NULL
Delhi,2004,Murder - Female Victims,2. Female Victims,16,125,7,14,7,51,30
Goa,2004,Murder - Female Victims,2. Female Victims,5,17,1,NULL,NULL,7,4
Gujarat,2004,Murder - Female Victims,2. Female Victims,25,340,2,53,6,157,97
Haryana,2004,Murder - Female Victims,2. Female Victims,6,159,0,0,2,100,51
Himachal Pradesh,2004,Murder - Female Victims,2. Female Victims,4,25,0,1,3,7,10
Jammu & Kashmir,2004,Murder - Female Victims,2. Female Victims,12,107,NULL,1,NULL,58,36
Jharkhand,2004,Murder - Female Victims,2. Female Victims,30,399,1,2,1,179,186
Karnataka,2004,Murder - Female Victims,2. Female Victims,51,561,0,23,2,313,172
Kerala,2004,Murder - Female Victims,2. Female Victims,29,137,6,16,2,26,58
Madhya Pradesh,2004,Murder - Female Victims,2. Female Victims,51,494,4,1,18,262,158
Maharashtra,2004,Murder - Female Victims,2. Female Victims,87,1004,10,69,16,523,299
Manipur,2004,Murder - Female Victims,2. Female Victims,1,15,0,0,0,8,6
Meghalaya,2004,Murder - Female Victims,2. Female Victims,0,8,0,0,1,6,1
Mizoram,2004,Murder - Female Victims,2. Female Victims,1,4,0,0,0,2,1
Nagaland,2004,Murder - Female Victims,2. Female Victims,0,17,0,0,0,8,9
Odisha,2004,Murder - Female Victims,2. Female Victims,18,357,3,1,0,221,114
Puducherry,2004,Murder - Female Victims,2. Female Victims,0,3,NULL,NULL,NULL,1,2
Punjab,2004,Murder - Female Victims,2. Female Victims,17,194,4,13,2,84,74
Rajasthan,2004,Murder - Female Victims,2. Female Victims,34,287,2,4,2,146,99
Sikkim,2004,Murder - Female Victims,2. Female Victims,1,5,0,2,0,2,0
Tamil Nadu,2004,Murder - Female Victims,2. Female Victims,56,493,6,34,0,240,157
Tripura,2004,Murder - Female Victims,2. Female Victims,6,44,1,0,0,27,10
Uttar Pradesh,2004,Murder - Female Victims,2. Female Victims,86,1401,71,56,124,613,451
Uttarakhand,2004,Murder - Female Victims,2. Female Victims,5,47,0,2,0,22,18
West Bengal,2004,Murder - Female Victims,2. Female Victims,14,425,1,1,0,218,191
Andaman & Nicobar Islands,2005,Murder - Female Victims,2. Female Victims,NULL,4,NULL,NULL,NULL,1,3
Andhra Pradesh,2005,Murder - Female Victims,2. Female Victims,68,722,7,14,7,324,302
Arunachal Pradesh,2005,Murder - Female Victims,2. Female Victims,0,1,0,0,0,1,0
Assam,2005,Murder - Female Victims,2. Female Victims,4,65,0,0,0,42,19
Bihar,2005,Murder - Female Victims,2. Female Victims,16,442,2,9,3,310,102
Chandigarh,2005,Murder - Female Victims,2. Female Victims,1,3,0,1,0,1,0
Chhattisgarh,2005,Murder - Female Victims,2. Female Victims,35,323,6,4,5,125,148
Delhi,2005,Murder - Female Victims,2. Female Victims,15,158,3,7,3,87,43
Goa,2005,Murder - Female Victims,2. Female Victims,1,14,NULL,3,NULL,7,3
Gujarat,2005,Murder - Female Victims,2. Female Victims,31,346,8,29,2,125,151
Haryana,2005,Murder - Female Victims,2. Female Victims,15,143,1,3,4,80,40
Himachal Pradesh,2005,Murder - Female Victims,2. Female Victims,1,36,0,3,3,13,16
Jammu & Kashmir,2005,Murder - Female Victims,2. Female Victims,0,102,0,2,0,64,36
Jharkhand,2005,Murder - Female Victims,2. Female Victims,16,173,6,0,44,62,45
Karnataka,2005,Murder - Female Victims,2. Female Victims,51,585,2,17,3,306,206
Kerala,2005,Murder - Female Victims,2. Female Victims,30,147,7,36,NULL,25,49
Lakshadweep,2005,Murder - Female Victims,2. Female Victims,NULL,1,NULL,NULL,NULL,1,NULL
Madhya Pradesh,2005,Murder - Female Victims,2. Female Victims,56,528,15,10,20,248,179
Maharashtra,2005,Murder - Female Victims,2. Female Victims,67,980,17,77,19,488,312
Manipur,2005,Murder - Female Victims,2. Female Victims,0,19,1,1,1,12,4
Meghalaya,2005,Murder - Female Victims,2. Female Victims,2,19,0,1,4,8,4
Mizoram,2005,Murder - Female Victims,2. Female Victims,1,4,0,0,0,2,1
Nagaland,2005,Murder - Female Victims,2. Female Victims,2,17,0,0,0,13,2
Odisha,2005,Murder - Female Victims,2. Female Victims,32,326,2,1,3,162,126
Puducherry,2005,Murder - Female Victims,2. Female Victims,3,9,NULL,NULL,NULL,5,1
Punjab,2005,Murder - Female Victims,2. Female Victims,13,187,4,4,1,87,78
Rajasthan,2005,Murder - Female Victims,2. Female Victims,29,296,4,14,9,124,116
Sikkim,2005,Murder - Female Victims,2. Female Victims,NULL,4,NULL,NULL,NULL,2,2
Tamil Nadu,2005,Murder - Female Victims,2. Female Victims,65,462,7,32,NULL,199,159
Tripura,2005,Murder - Female Victims,2. Female Victims,4,64,NULL,1,0,49,10
Uttar Pradesh,2005,Murder - Female Victims,2. Female Victims,71,1354,59,19,63,695,447
Uttarakhand,2005,Murder - Female Victims,2. Female Victims,1,53,0,2,0,25,25
West Bengal,2005,Murder - Female Victims,2. Female Victims,14,365,1,0,0,269,81
Andaman & Nicobar Islands,2006,Murder - Female Victims,2. Female Victims,NULL,1,NULL,NULL,NULL,NULL,1
Andhra Pradesh,2006,Murder - Female Victims,2. Female Victims,80,744,9,16,11,322,306
Arunachal Pradesh,2006,Murder - Female Victims,2. Female Victims,0,0,0,0,0,0,0
Assam,2006,Murder - Female Victims,2. Female Victims,2,76,0,0,0,43,31
Bihar,2006,Murder - Female Victims,2. Female Victims,8,413,1,2,2,282,118
Chandigarh,2006,Murder - Female Victims,2. Female Victims,3,4,0,0,0,0,1
Chhattisgarh,2006,Murder - Female Victims,2. Female Victims,40,336,7,4,10,159,116
Dadra & Nagar Haveli,2006,Murder - Female Victims,2. Female Victims,0,3,0,0,0,2,1
Daman & Diu,2006,Murder - Female Victims,2. Female Victims,0,2,0,2,0,0,0
Delhi,2006,Murder - Female Victims,2. Female Victims,8,128,2,12,8,75,23
Goa,2006,Murder - Female Victims,2. Female Victims,3,10,NULL,NULL,1,4,2
Gujarat,2006,Murder - Female Victims,2. Female Victims,29,366,4,34,3,150,146
Haryana,2006,Murder - Female Victims,2. Female Victims,8,156,1,0,2,90,55
Himachal Pradesh,2006,Murder - Female Victims,2. Female Victims,5,31,1,1,0,11,13
Jammu & Kashmir,2006,Murder - Female Victims,2. Female Victims,1,76,1,0,5,37,32
Jharkhand,2006,Murder - Female Victims,2. Female Victims,33,214,1,1,38,83,58
Karnataka,2006,Murder - Female Victims,2. Female Victims,64,588,3,30,2,294,195
Kerala,2006,Murder - Female Victims,2. Female Victims,27,138,3,35,2,30,41
Madhya Pradesh,2006,Murder - Female Victims,2. Female Victims,74,510,14,14,22,200,186
Maharashtra,2006,Murder - Female Victims,2. Female Victims,76,995,14,75,27,482,321
Manipur,2006,Murder - Female Victims,2. Female Victims,1,9,0,0,1,5,2
Meghalaya,2006,Murder - Female Victims,2. Female Victims,0,11,0,1,0,7,3
Mizoram,2006,Murder - Female Victims,2. Female Victims,0,3,0,0,0,3,0
Nagaland,2006,Murder - Female Victims,2. Female Victims,2,8,0,0,0,3,3
Odisha,2006,Murder - Female Victims,2. Female Victims,12,384,0,3,2,192,175
Puducherry,2006,Murder - Female Victims,2. Female Victims,1,9,NULL,NULL,NULL,3,5
Punjab,2006,Murder - Female Victims,2. Female Victims,24,237,5,3,4,120,81
Rajasthan,2006,Murder - Female Victims,2. Female Victims,30,249,6,11,6,113,83
Sikkim,2006,Murder - Female Victims,2. Female Victims,1,7,NULL,NULL,NULL,3,3
Tamil Nadu,2006,Murder - Female Victims,2. Female Victims,82,515,9,33,4,206,181
Tripura,2006,Murder - Female Victims,2. Female Victims,4,34,NULL,NULL,NULL,22,8
Uttar Pradesh,2006,Murder - Female Victims,2. Female Victims,57,927,63,11,82,408,306
Uttarakhand,2006,Murder - Female Victims,2. Female Victims,2,55,0,2,1,17,33
West Bengal,2006,Murder - Female Victims,2. Female Victims,17,447,0,0,0,335,95
Andaman & Nicobar Islands,2007,Murder - Female Victims,2. Female Victims,1,6,NULL,NULL,NULL,3,2
Andhra Pradesh,2007,Murder - Female Victims,2. Female Victims,67,886,16,26,10,415,352
Arunachal Pradesh,2007,Murder - Female Victims,2. Female Victims,0,3,0,0,0,3,0
Assam,2007,Murder - Female Victims,2. Female Victims,0,88,0,0,0,51,37
Bihar,2007,Murder - Female Victims,2. Female Victims,14,390,0,4,15,237,120
Chandigarh,2007,Murder - Female Victims,2. Female Victims,1,6,0,2,0,3,0
Chhattisgarh,2007,Murder - Female Victims,2. Female Victims,71,310,4,3,3,100,129
Dadra & Nagar Haveli,2007,Murder - Female Victims,2. Female Victims,NULL,4,NULL,NULL,NULL,2,2
Daman & Diu,2007,Murder - Female Victims,2. Female Victims,0,1,0,0,0,1,0
Delhi,2007,Murder - Female Victims,2. Female Victims,13,127,3,10,5,71,25
Goa,2007,Murder - Female Victims,2. Female Victims,4,16,NULL,2,NULL,6,4
Gujarat,2007,Murder - Female Victims,2. Female Victims,28,314,5,33,5,117,126
Haryana,2007,Murder - Female Victims,2. Female Victims,7,167,8,14,9,84,45
Himachal Pradesh,2007,Murder - Female Victims,2. Female Victims,2,35,1,2,1,15,14
Jammu & Kashmir,2007,Murder - Female Victims,2. Female Victims,2,40,0,0,0,26,12
Jharkhand,2007,Murder - Female Victims,2. Female Victims,27,237,1,2,5,87,115
Karnataka,2007,Murder - Female Victims,2. Female Victims,41,505,4,17,6,289,148
Kerala,2007,Murder - Female Victims,2. Female Victims,28,141,1,22,4,34,52
Madhya Pradesh,2007,Murder - Female Victims,2. Female Victims,64,551,7,33,11,253,183
Maharashtra,2007,Murder - Female Victims,2. Female Victims,89,1014,15,73,19,521,297
Manipur,2007,Murder - Female Victims,2. Female Victims,2,20,0,0,2,8,8
Meghalaya,2007,Murder - Female Victims,2. Female Victims,0,7,0,2,0,3,2
Mizoram,2007,Murder - Female Victims,2. Female Victims,0,18,1,0,1,11,5
Nagaland,2007,Murder - Female Victims,2. Female Victims,0,14,0,1,1,9,3
Odisha,2007,Murder - Female Victims,2. Female Victims,6,372,2,2,4,242,116
Puducherry,2007,Murder - Female Victims,2. Female Victims,2,10,NULL,1,NULL,4,3
Punjab,2007,Murder - Female Victims,2. Female Victims,18,225,5,3,4,120,75
Rajasthan,2007,Murder - Female Victims,2. Female Victims,25,319,12,10,6,143,123
Sikkim,2007,Murder - Female Victims,2. Female Victims,NULL,3,1,NULL,NULL,2,NULL
Tamil Nadu,2007,Murder - Female Victims,2. Female Victims,86,604,8,31,3,261,215
Tripura,2007,Murder - Female Victims,2. Female Victims,8,50,NULL,3,2,19,18
Uttar Pradesh,2007,Murder - Female Victims,2. Female Victims,68,899,63,24,74,382,288
Uttarakhand,2007,Murder - Female Victims,2. Female Victims,7,77,3,2,NULL,53,12
West Bengal,2007,Murder - Female Victims,2. Female Victims,21,647,0,7,3,441,175
Andaman & Nicobar Islands,2008,Murder - Female Victims,2. Female Victims,NULL,2,2,NULL,NULL,NULL,NULL
Andhra Pradesh,2008,Murder - Female Victims,2. Female Victims,82,830,7,25,9,411,296
Arunachal Pradesh,2008,Murder - Female Victims,2. Female Victims,0,1,0,0,0,0,1
Assam,2008,Murder - Female Victims,2. Female Victims,0,103,0,0,0,61,42
Bihar,2008,Murder - Female Victims,2. Female Victims,18,637,8,12,12,436,151
Chandigarh,2008,Murder - Female Victims,2. Female Victims,1,6,0,0,0,3,2
Chhattisgarh,2008,Murder - Female Victims,2. Female Victims,40,363,7,10,27,129,150
Dadra & Nagar Haveli,2008,Murder - Female Victims,2. Female Victims,1,4,1,NULL,NULL,NULL,2
Daman & Diu,2008,Murder - Female Victims,2. Female Victims,NULL,0,NULL,NULL,NULL,0,NULL
Delhi,2008,Murder - Female Victims,2. Female Victims,7,116,1,4,2,63,39
Goa,2008,Murder - Female Victims,2. Female Victims,5,20,1,2,0,8,4
Gujarat,2008,Murder - Female Victims,2. Female Victims,29,340,3,24,2,137,145
Haryana,2008,Murder - Female Victims,2. Female Victims,12,185,5,3,5,97,63
Himachal Pradesh,2008,Murder - Female Victims,2. Female Victims,4,36,2,1,3,10,16
Jammu & Kashmir,2008,Murder - Female Victims,2. Female Victims,2,30,0,0,0,13,15
Jharkhand,2008,Murder - Female Victims,2. Female Victims,25,266,0,2,1,115,123
Karnataka,2008,Murder - Female Victims,2. Female Victims,43,624,17,49,14,272,229
Kerala,2008,Murder - Female Victims,2. Female Victims,23,128,5,25,NULL,24,51
Lakshadweep,2008,Murder - Female Victims,2. Female Victims,NULL,1,NULL,NULL,NULL,NULL,1
Madhya Pradesh,2008,Murder - Female Victims,2. Female Victims,64,516,13,11,6,235,187
Maharashtra,2008,Murder - Female Victims,2. Female Victims,73,1049,11,62,21,541,341
Manipur,2008,Murder - Female Victims,2. Female Victims,0,19,0,2,0,9,8
Meghalaya,2008,Murder - Female Victims,2. Female Victims,0,15,0,0,0,11,4
Mizoram,2008,Murder - Female Victims,2. Female Victims,0,2,0,0,0,1,1
Nagaland,2008,Murder - Female Victims,2. Female Victims,0,6,0,0,0,5,1
Odisha,2008,Murder - Female Victims,2. Female Victims,47,545,2,2,0,257,237
Puducherry,2008,Murder - Female Victims,2. Female Victims,2,8,NULL,NULL,NULL,5,1
Punjab,2008,Murder - Female Victims,2. Female Victims,17,219,5,3,7,120,67
Rajasthan,2008,Murder - Female Victims,2. Female Victims,30,287,6,8,12,129,102
Sikkim,2008,Murder - Female Victims,2. Female Victims,NULL,3,NULL,NULL,NULL,3,NULL
Tamil Nadu,2008,Murder - Female Victims,2. Female Victims,93,624,3,45,4,233,246
Tripura,2008,Murder - Female Victims,2. Female Victims,4,63,2,3,1,36,17
Uttar Pradesh,2008,Murder - Female Victims,2. Female Victims,65,840,55,30,73,360,257
Uttarakhand,2008,Murder - Female Victims,2. Female Victims,3,48,NULL,NULL,NULL,29,16
West Bengal,2008,Murder - Female Victims,2. Female Victims,16,250,0,1,5,175,53
Andaman & Nicobar Islands,2009,Murder - Female Victims,2. Female Victims,NULL,8,NULL,1,NULL,3,4
Andhra Pradesh,2009,Murder - Female Victims,2. Female Victims,91,800,6,18,7,379,299
Arunachal Pradesh,2009,Murder - Female Victims,2. Female Victims,0,1,0,0,0,1,0
Assam,2009,Murder - Female Victims,2. Female Victims,0,97,0,0,0,62,35
Bihar,2009,Murder - Female Victims,2. Female Victims,18,672,5,9,27,439,174
Chandigarh,2009,Murder - Female Victims,2. Female Victims,0,3,0,0,0,1,2
Chhattisgarh,2009,Murder - Female Victims,2. Female Victims,44,326,2,15,7,124,134
Dadra & Nagar Haveli,2009,Murder - Female Victims,2. Female Victims,NULL,6,NULL,NULL,NULL,3,3
Daman & Diu,2009,Murder - Female Victims,2. Female Victims,NULL,1,NULL,NULL,NULL,1,NULL
Delhi,2009,Murder - Female Victims,2. Female Victims,18,126,4,13,2,48,41
Goa,2009,Murder - Female Victims,2. Female Victims,3,31,0,1,1,14,12
Gujarat,2009,Murder - Female Victims,2. Female Victims,34,325,6,34,2,120,129
Haryana,2009,Murder - Female Victims,2. Female Victims,15,221,2,0,2,96,106
Himachal Pradesh,2009,Murder - Female Victims,2. Female Victims,9,39,1,4,1,10,14
Jammu & Kashmir,2009,Murder - Female Victims,2. Female Victims,4,46,0,0,0,26,16
Jharkhand,2009,Murder - Female Victims,2. Female Victims,8,201,1,1,0,119,72
Karnataka,2009,Murder - Female Victims,2. Female Victims,66,679,9,16,7,335,246
Kerala,2009,Murder - Female Victims,2. Female Victims,18,109,4,17,5,20,45
Madhya Pradesh,2009,Murder - Female Victims,2. Female Victims,77,625,11,18,11,277,231
Maharashtra,2009,Murder - Female Victims,2. Female Victims,104,1000,15,79,18,490,294
Manipur,2009,Murder - Female Victims,2. Female Victims,2,18,1,2,1,5,7
Meghalaya,2009,Murder - Female Victims,2. Female Victims,1,22,0,0,3,16,2
Mizoram,2009,Murder - Female Victims,2. Female Victims,0,3,0,0,0,3,NULL
Nagaland,2009,Murder - Female Victims,2. Female Victims,0,9,0,0,0,9,0
Odisha,2009,Murder - Female Victims,2. Female Victims,40,460,1,3,0,215,201
Puducherry,2009,Murder - Female Victims,2. Female Victims,1,10,NULL,1,NULL,3,5
Punjab,2009,Murder - Female Victims,2. Female Victims,14,203,6,15,8,92,68
Rajasthan,2009,Murder - Female Victims,2. Female Victims,35,328,8,13,8,150,114
Sikkim,2009,Murder - Female Victims,2. Female Victims,NULL,6,NULL,1,NULL,3,2
Tamil Nadu,2009,Murder - Female Victims,2. Female Victims,93,587,6,45,5,214,224
Tripura,2009,Murder - Female Victims,2. Female Victims,4,57,3,4,3,22,21
Uttar Pradesh,2009,Murder - Female Victims,2. Female Victims,81,955,56,38,71,443,266
Uttarakhand,2009,Murder - Female Victims,2. Female Victims,1,51,1,1,NULL,38,10
West Bengal,2009,Murder - Female Victims,2. Female Victims,25,693,5,2,4,409,248
Andaman & Nicobar Islands,2010,Murder - Female Victims,2. Female Victims,NULL,5,NULL,NULL,2,NULL,3
Andhra Pradesh,2010,Murder - Female Victims,2. Female Victims,143,624,12,15,6,235,213
Arunachal Pradesh,2010,Murder - Female Victims,2. Female Victims,0,2,0,0,0,2,0
Assam,2010,Murder - Female Victims,2. Female Victims,NULL,86,NULL,NULL,NULL,51,35
Bihar,2010,Murder - Female Victims,2. Female Victims,31,662,14,10,50,370,187
Chandigarh,2010,Murder - Female Victims,2. Female Victims,1,2,0,0,0,1,0
Chhattisgarh,2010,Murder - Female Victims,2. Female Victims,40,357,5,13,19,127,153
Dadra & Nagar Haveli,2010,Murder - Female Victims,2. Female Victims,NULL,1,NULL,NULL,NULL,1,NULL
Delhi,2010,Murder - Female Victims,2. Female Victims,14,119,3,4,4,55,39
Goa,2010,Murder - Female Victims,2. Female Victims,0,7,0,0,1,5,1
Gujarat,2010,Murder - Female Victims,2. Female Victims,21,268,4,19,0,131,93
Haryana,2010,Murder - Female Victims,2. Female Victims,14,213,4,2,6,99,88
